ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseLightRank,baseDarkRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
Berserker#def,BerserkerName,BerserkerDesc,0x43,0x42,0x35,0x0,0x8d,0x26,24,8,5,10,5,0,14,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,0,DRank,0,0,0,0,0,0x88af498,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate_F#def,PirateName,PirateDesc,0x44,0x0,Pirate_FStandMapSprite,0x0,0x8c,0x17,19,4,2,6,3,0,10,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,DRank,0,0,0,1,0,Pirate_FAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Curate#def,CurateName,CurateDesc,0x45,0x27,0x37,0x0,0x7a,0x15,16,1,1,4,3,6,6,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,31,0,0,0,0x88af4c4,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Bard,0x2e5,0x331,0x46,0x0,0x38,0x0,0x8b,0x0,16,1,1,10,1,5,6,6,60,10,10,30,24,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20,0,0,0,0,0,0,0,0,0x0,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker_F#def,BerserkerName,BerserkerDesc,0x47,0x0,Berserker_FStandMapSprite,0x0,0x8d,0x28,24,8,5,10,5,0,14,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,0,DRank,0,0,0,0,0,Berserker_FAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
PegasusRider#def,PegasusRiderName,PegasusRiderDesc,0x48,0x49,0x39,0x0,0x86,0x10,16,3,5,10,2,4,8,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x1003,0,DRank,0,0,0,0,0,0,0x88af4dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,FlyingType
Falcoknight#def,FalcoknightName,FalcoknightDesc,0x49,0x48,0x3a,0x0,0x87,0x11,20,5,7,12,4,5,10,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x1103,DRank,DRank,0,0,0,0,0,0,0x88af4e8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,FlyingType
Curate_F#def,CurateName,CurateDesc,0x4a,0x2c,0x3b,0x0,0x7a,0x16,16,1,1,4,3,6,6,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,DRank,0,0,0,0x88af4f8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Troubadour#def,TroubadourName,TroubadourDesc,0x4b,0x4c,0x3c,0x0,0x82,0x19,16,1,1,3,2,5,6,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x403,0,0,0,0,DRank,0,0,0,0x88af504,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,MageType|HorseType
Valkyrie#def,ValkyrieName,ValkyrieDesc,0x4c,0x4b,0x3d,0x0,0x83,0x1a,20,4,3,5,4,8,8,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,0,0,0,0,DRank,DRank,0,0,0x88af510,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,MageType|HorseType
Dancer,0x2ec,0x338,0x4d,0x0,0x3e,0x0,0x8b,0x2a,16,1,1,10,1,5,6,6,60,10,10,30,24,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x10,0,0,0,0,0,0,0,0,0x88af528,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Soldier#def,SoldierName,SoldierDesc,0x4e,0x0,SoldierStandMapSprite,0x0,0x8a,0x0,16,5,8,9,5,0,10,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,DRank,0,0,0,0,0,0,SoldierAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Necromancer,0x2ef,0x33b,0x4f,0x2d,0x40,0x0,0x7f,0x2b,18,9,4,5,3,8,7,6,80,30,25,25,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x8000100,0,0,0,0,251,0,0,251,0x88af548,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Fleet,0x2f0,0x33c,0x50,0x0,0x41,0x0,0x92,0x0,19,1,1,2,5,0,25,3,60,20,20,20,30,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,71,0,0,0,0,0x0,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Phantom,0x2f1,0x33d,0x51,0x0,0x42,0x0,0x98,0x1e,1,5,2,4,0,0,11,5,1,20,20,20,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,71,0,0,0,0,0,0x0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Soldier_F#def,SoldierName,SoldierDesc,0x52,0x53,Soldier_FStandMapSprite,0x0,0x8a,0x0,16,5,8,9,5,0,10,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,DRank,0,0,0,0,0,0,Soldier_FanimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Halberdier#def,HalberdierName,HalberdierDesc,0x53,0x52,HalberdierStandMapSprite,0x0,0x9a,0x0,22,6,10,11,7,3,12,6,80,25,22,21,24,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,DRank,0,0,0,0,0,0,HalberdierAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Halberdier_F#def,HalberdierName,HalberdierDesc,0x54,0x56,Halberdier_FStandMapSprite,0x0,0x9b,0x0,22,6,10,11,7,3,12,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,DRank,0,0,0,0,0,0,Halberdier_FAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue_F#def,RogueName,RogueDesc,0x55,0x57,Rogue_FStandMapSprite,0x0,0x94,0x0,19,4,3,13,3,1,7,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x10c,DRank,0,0,0,0,0,0,0,Rogue_FAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,ThiefType
Wight,0x2f5,0x341,0x56,0x54,0x47,0x0,0x9c,0x0,21,7,5,6,5,2,9,6,60,24,28,26,22,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20100,181,181,0,0,0,0,0,0,0x88af594,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Wight (Bow),0x2f5,0x341,0x57,0x55,0x48,0x0,0x9c,0x0,21,6,6,5,5,2,8,6,60,25,30,28,25,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,181,0,0,0,0,0x88af5a4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Bael,0x2f6,0x342,0x58,0x59,0x49,0x0,0x9d,0x0,25,6,3,3,6,1,12,5,60,30,28,26,26,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40000,0,0,0,0,0,0,0,0,0x88af5b0,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x880c5ff
Elder Bael,0x2f7,0x343,0x59,0x58,0x4a,0x0,0x9e,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af5bc,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x880c5ff
Cyclops,0x2f8,0x344,0x5a,0x9,0x4b,0x0,0x9f,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,181,0,0,0,0,0,0x88af5c8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Mauthe Doog,0x2f9,0x345,0x5b,0x5c,0x4c,0x0,0xa0,0x0,16,4,10,10,2,0,6,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40000,0,0,0,0,0,0,0,0,0x88af5e0,0x880bb14,0x880bf65,0x880c375,0x880c479,0x880c4ba,0x880c4fb,0x0
Gwyllgi,0x2fa,0x346,0x5c,0x5b,0x4d,0x0,0xa1,0x0,21,6,12,12,5,2,8,8,60,24,29,30,22,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af5ec,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Tarvos,0x2fb,0x347,0x5d,0x5e,0x4e,0x0,0xa2,0x0,21,6,2,5,7,0,10,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,71,0,0,0,0,0,0x88af5f8,0x880bb14,0x880bf65,0x880c375,0x880c479,0x880c4ba,0x880c4fb,0x0
Maelduin,0x2fc,0x348,0x5e,0x5d,0x4f,0x0,0xa3,0x0,25,8,4,7,9,3,12,8,80,25,26,24,25,25,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,181,181,0,0,0,0,0x88af610,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Mogall,0x2fd,0x349,0x5f,0x60,0x50,0x0,0xa4,0x0,15,2,1,2,2,4,4,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40000,0,0,0,0,0,0,0,71,0x88af62c,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Arch Mogall,0x2fe,0x34a,0x60,0x5f,0x51,0x0,0xa5,0x0,17,6,3,3,3,7,5,6,60,29,26,26,20,29,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,181,0x88af640,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Gorgon,0x2ff,0x34b,0x61,0x5f,0x52,0x0,0xa6,0x0,19,8,3,4,5,7,11,6,60,29,26,26,21,28,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,181,0x88af654,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Gorgon Egg,0x300,0x34c,0x62,0x0,0x53,0x0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Gargoyle,0x301,0x34d,0x63,0x64,0x54,0x0,0xa7,0x0,19,6,3,6,6,0,8,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,71,0,0,0,0,0,0,0x88af668,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Deathgoyle,0x302,0x34e,0x64,0x63,0x55,0x0,0xa8,0x0,23,8,5,8,9,1,11,7,60,27,25,23,28,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,181,0,0,0,0,0,0,0x88af674,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Dracozombie,0x303,0x34f,0x65,0x1f,0x56,0x0,0xa9,0x0,53,1,0,1,0,3,25,5,100,50,50,50,50,50,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af680,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Demon King,0x304,0x350,0x66,0x1f,0x57,0x0,0xaa,0x0,120,23,20,18,25,25,25,2,120,50,50,50,50,50,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af68c,0x880bbd7,0x880bbd7,0x880bbd7,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer on Ballista,0x0,0x0,0x67,0x0,0x58,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer on Iron Ballista,0x0,0x0,0x68,0x0,0x59,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer on Killer Ballista,0x0,0x0,0x69,0x0,0x5a,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Ballista,0x0,0x0,0x6a,0x0,0x5b,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Iron Ballista,0x0,0x0,0x6b,0x0,0x5c,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Killer Ballista,0x0,0x0,0x6c,0x0,0x5d,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian,0x305,0x351,0x6d,0x0,0x5e,0x1,0x5e,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian (F),0x305,0x351,0x6e,0x0,0x5f,0x1,0x63,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian,0x305,0x351,0x6f,0x0,0x60,0x1,0x59,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian (F),0x305,0x351,0x70,0x0,0x61,0x1,0x62,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian,0x305,0x351,0x71,0x0,0x60,0x1,0x5c,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Civilian (F),0x305,0x351,0x72,0x0,0x61,0x1,0x61,0x0,16,1,0,2,0,0,3,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Log#def,LogName,LogDesc,0x85,0x0,LogStandMapSprite,0x0,LogCard,0x0,24,0,0,0,4,3,4,0,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Chicken#def,ChickenName,ChickenDesc,0x86,0x0,ChickenStandMapSprite,0x0,ChickenCard,0x0,16,0,1,4,0,2,1,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Merchant#def,MerchantName,MerchantDesc,0x87,0x0,MerchantStandMapSprite,0x0,TentCard,0x0,22,0,0,3,1,2,25,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Gazelle#def,GazelleName,GazelleDesc,0x88,0x0,GazelleStandMapSprite,0x0,GazelleCard,0x0,20,0,0,6,0,1,25,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Horse#def,HorseName,HorseDesc,0x89,0x0,HorseStandMapSprite,0x0,HorseCard,0x0,23,1,0,4,2,0,25,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,HorseType
Pumpkin#def,PumpkinName,PumpkinDesc,0x8a,0x0,PumpkinStandMapSprite,0x0,PumpkinCard,0x0,18,0,0,0,0,4,1,0,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Tent#def,TentName,TentDesc,0x79,0x0,0x68,0x0,TentCard,0x0,20,0,2,2,1,0,25,0,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100200,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Pontifex,0x306,0x352,0x7a,0x0,0x69,0x1,0x1,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Dead Peer,0x0,0x0,0x7b,0x0,0x6a,0x1,0x1,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
Cyclops,0x2f8,0x344,0x7c,0x9,0x4b,0x0,0x9f,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,251,0,0,0,0,0,0x88af6a4,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Elder Bael,0x2f7,0x343,0x7d,0x58,0x4a,0x0,0x9e,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af6bc,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x880c5ff
Journeyman (2),0x2d8,0x324,0x7e,0x38,0x2d,0x0,0x74,0x27,20,5,3,4,2,1,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,31,0,0,0,0,0,0x88af6c8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
